"ALTHEA GROUP HOLDINGS LIMITED","AGH","Pharmaceuticals, Biotechnology & Life Sciences"
"ALTIUM LIMITED","ALU","Software & Services"
"ALTO METALS LIMITED","AME","Materials"
"ALTOSTRATOS HOLDINGS LIMITED","ATO","Class Pend"
"ALTURA MINING LIMITED","AJM","Materials"
"ALUMINA LIMITED","AWC","Materials"
"AMA GROUP LIMITED","AMA","Retailing"
"AMANI GOLD LIMITED","ANL","Materials"
"AMAYSIM AUSTRALIA LIMITED","AYS","Communication Services"
"AMBERTECH LIMITED","AMO","Technology Hardware & Equipment"
"AMBITION GROUP LIMITED","AMB","Commercial & Professional Services"
"AMCIL LIMITED","AMH","Diversified Financials"
"AMCOR LIMITED","AMC","Materials"
"AMERICAN PACIFIC BORATE & LITHIUM LIMITED","ABR","Materials"
"AMERICAN PATRIOT OIL & GAS LIMITED","AOW","Energy"
"AMP LIMITED","AMP","Insurance"
"AMPLIA THERAPEUTICS LIMITED","ATX","Pharmaceuticals, Biotechnology & Life Sciences"
"ANAECO LIMITED","ANQ","Commercial & Professional Services"
"ANALYTICA LIMITED","ALT","Health Care Equipment & Services"
"ANATARA LIFESCIENCES LTD","ANR","Pharmaceuticals, Biotechnology & Life Sciences"
"ANCHOR RESOURCES LIMITED","AHR","Materials"
"ANDROMEDA METALS LIMITED","ADN","Materials"
"ANEKA TAMBANG (PERSERO) TBK (PT)","ATM","Materials"
"ANGEL SEAFOOD HOLDINGS LTD","AS1","Food, Beverage & Tobacco"
"ANGLO AMERICAN CAPITAL PLC","AQM","Not Applic"
"ANGLO AUSTRALIAN RESOURCES NL","AAR","Materials"
"ANGLOGOLD ASHANTI LIMITED","AGG","Materials"
"ANIMOCA BRANDS CORPORATION LIMITED","AB1","Media & Entertainment"
"ANOVA METALS LIMITED","AWV","Materials"
"ANSELL LIMITED","ANN","Health Care Equipment & Services"
"ANSON RESOURCES LIMITED","ASN","Materials"
"ANTEO DIAGNOSTICS LIMITED","ADO","Pharmaceuticals, Biotechnology & Life Sciences"
"ANTIPA MINERALS LIMITED","AZY","Materials"
"ANTIPODES GLOBAL INVESTMENT COMPANY LTD","APL","Not Applic"
"ANTISENSE THERAPEUTICS LIMITED","ANP","Pharmaceuticals, Biotechnology & Life Sciences"
"AP EAGERS LIMITED","APE","Retailing"
"APA GROUP","APA","Utilities"
"APIAM ANIMAL HEALTH LIMITED","AHX","Health Care Equipment & Services"
"APN PROPERTY GROUP LIMITED","APD","Diversified Financials"
"APOLLO CONSOLIDATED LIMITED","AOP","Materials"
"APOLLO MINERALS LIMITED","AON","Materials"
"APOLLO SERIES 2010-1 TRUST","AOJ","Not Applic"
"APOLLO SERIES 2013-1 TRUST","AOR","Not Applic"
"APOLLO SERIES 2015-1 TRUST","AOL","Not Applic"
"APOLLO SERIES 2017-2 TRUST","AO2","Not Applic"
"APOLLO SERIES 2018-1 TRUST","AO3","Not Applic"
"APOLLO TOURISM & LEISURE LTD","ATL","Automobiles & Components"
"APPEN LIMITED","APX","Software & Services"
"APPLYDIRECT LIMITED","AD1","Media & Entertainment"
"APT PIPELINES LIMITED.","AQH","Not Applic"
"AQUIS ENTERTAINMENT LIMITED","AQS","Consumer Services"
"ARAFURA RESOURCES LIMITED","ARU","Materials"
"ARB CORPORATION LIMITED.","ARB","Automobiles & Components"
"ARC EXPLORATION LIMITED","ARX","Materials"
"ARCHER EXPLORATION LIMITED","AXE","Materials"
"ARCHTIS LIMITED","AR9","Software & Services"
"ARDEA RESOURCES LIMITED","ARL","Materials"
"ARDENT LEISURE GROUP LIMITED","ALG","Consumer Services"
"ARDIDEN LTD","ADV","Materials"
"ARENA REIT.","ARF","Real Estate"
"ARGENT MINERALS LIMITED","ARD","Materials"
"ARGO EXPLORATION LIMITED","AXT","Materials"
"ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","ALI","Diversified Financials"
"ARGO INVESTMENTS LIMITED","ARG","Not Applic"
"ARGONAUT RESOURCES NL","ARE","Materials"
"ARGOSY MINERALS LIMITED","AGY","Materials"
"ARIADNE AUSTRALIA LIMITED","ARA","Commercial & Professional Services"
"ARISTOCRAT LEISURE LIMITED","ALL","Consumer Services"
"ARK MINES LIMITED","AHK","Materials"
"ARMOUR ENERGY LIMITED","AJQ","Energy"
"AROWANA INTERNATIONAL LIMITED","AWN","Capital Goods"
"ARQ GROUP LIMITED","ARQ","Software & Services"
"ARROW MINERALS LTD","AMD","Materials"
"ARTEMIS RESOURCES LIMITED","ARV","Materials"
"ARUMA RESOURCES LIMITED","AAJ","Materials"
"ASALEO CARE LIMITED","AHY","Household & Personal Products"
"ASAPLUS RESOURCES LIMITED","AJY","Materials"
"ASF GROUP LIMITED","AFA","Diversified Financials"
"ASHLEY SERVICES GROUP LIMITED","ASH","Commercial & Professional Services"
"ASIAN AMERICAN MEDICAL GROUP LIMITED","AJJ","Health Care Equipment & Services"
"ASIAN DEVELOPMENT BANK","ATB","Not Applic"
"ASPEN GROUP","APZ","Real Estate"
"ASPERMONT LIMITED.","ASP","Media & Entertainment"
"ASPIRE MINING LIMITED","AKM","Materials"
"ASSETOWL LIMITED","AO1","Software & Services"
"ASTIVITA LIMITED","AIR","Capital Goods"
"ASTRO RESOURCES NL","ARO","Materials"
"ASTRON CORPORATION LIMITED","ATR","Materials"
"ASX LIMITED","ASX","Diversified Financials"
"ATC ALLOYS LTD","ATA","Materials"
"ATHENA RESOURCES LIMITED","AHN","Materials"
"ATLAS ARTERIA","ALX","Transportation"
"ATLAS PEARLS LTD","ATP","Consumer Durables & Apparel"
"ATOMOS LIMITED","AMS","Consumer Durables & Apparel"
"ATRUM COAL LIMITED","ATU","Materials"
"AUB GROUP LIMITED","AUB","Insurance"
"AUCKLAND INTERNATIONAL AIRPORT LIMITED","AIA","Transportation"
"AUCTUS ALTERNATIVE INVESTMENTS LIMITED","AVC","Diversified Financials"
"AUDALIA RESOURCES LIMITED","ACP","Materials"
"AUDINATE GROUP LIMITED","AD8","Technology Hardware & Equipment"
